iter	RMSE
0	14.68062916
1	14.32558139
2	13.95284448
3	13.64381277
4	13.30505462
5	13.01607069
6	12.72246555
7	12.47373761
8	12.1943344
9	11.90809615
10	11.65006586
11	11.36786266
12	11.09799278
13	10.85038242
14	10.62156243
15	10.41009742
16	10.21012189
17	10.00373803
18	9.808634469
19	9.633887973
20	9.450881857
21	9.256884069
22	9.090307362
23	8.941092324
24	8.786620624
25	8.625039645
26	8.488693254
27	8.35907668
28	8.221954992
29	8.090853987
30	7.964179309
31	7.841595012
32	7.741071457
33	7.632457701
34	7.523515854
35	7.423154115
36	7.332622878
37	7.249690667
38	7.165446592
39	7.08388117
40	7.011679567
41	6.943338832
42	6.873803417
43	6.804733548
44	6.742838092
45	6.683716895
46	6.61544704
47	6.554808371
48	6.49450459
49	6.446937673
50	6.388379294
51	6.33231456
52	6.28223853
53	6.235124721
54	6.186347628
55	6.143823221
56	6.102490119
57	6.066869881
58	6.032391507
59	5.993990167
60	5.959381373
61	5.933906529
62	5.901064178
63	5.870056894
64	5.838995072
65	5.810180615
66	5.782680849
67	5.756409301
68	5.741232528
69	5.712452097
70	5.687158455
71	5.66318704
72	5.640783634
73	5.616528437
74	5.591379074
75	5.569277577
76	5.552832325
77	5.535511742
78	5.518701372
79	5.501062814
80	5.482678277
81	5.467998049
82	5.447844365
83	5.428740673
84	5.4116615
85	5.39878967
86	5.385880946
87	5.373368217
88	5.354164575
89	5.340489208
90	5.32885838
91	5.319930268
92	5.308751973
93	5.296917628
94	5.287626919
95	5.277553718
96	5.266667459
97	5.251464822
98	5.240423456
99	5.228176701
100	5.220469999
101	5.208653852
102	5.201657578
103	5.19174364
104	5.182842077
105	5.171685465
106	5.164557492
107	5.154029277
108	5.144282427
109	5.13375515
110	5.126061728
111	5.117073737
112	5.108819243
113	5.102253925
114	5.095944176
115	5.088375427
116	5.082344329
117	5.073761664
118	5.068215736
119	5.058619568
120	5.053075448
121	5.043571776
122	5.037973469
123	5.03132131
124	5.027153395
125	5.021722291
126	5.013020524
127	5.005094956
128	5.000140195
129	4.995686559
130	4.990694013
131	4.987581941
132	4.981464709
133	4.97512479
134	4.965212911
135	4.962294541
136	4.961202229
137	4.955213303
138	4.94528689
139	4.942676421
140	4.936936503
141	4.935135565
142	4.930121284
143	4.926086354
144	4.921021972
145	4.915722601
146	4.910410964
147	4.905177652
148	4.902077091
149	4.896068853
150	4.890103861
151	4.887585017
152	4.884129528
153	4.878885514
154	4.874001863
155	4.871937588
156	4.865065879
157	4.860385364
158	4.856521834
159	4.852316847
160	4.849099808
161	4.845543304
162	4.842977307
163	4.842174444
164	4.837703504
165	4.83364089
166	4.830079904
167	4.824627584
168	4.820468912
169	4.817033668
170	4.813874151
171	4.810666685
172	4.80707605
173	4.802859142
174	4.796124002
175	4.791239545
176	4.784500199
177	4.780536991
178	4.775404564
179	4.77034674
180	4.765936563
181	4.761007943
182	4.757628276
183	4.75513866
184	4.749056485
185	4.746024961
186	4.742664971
187	4.737170359
188	4.734700138
189	4.731657309
190	4.729184181
191	4.724968623
192	4.720823386
193	4.71814085
194	4.716749872
195	4.711532748
196	4.707638211
197	4.704354165
198	4.701618468
199	4.699247063
200	4.696272699
201	4.69432565
202	4.690320045
203	4.685790432
204	4.681882374
205	4.675389588
206	4.670063061
207	4.666043754
208	4.662767122
